"","predictions"
"1",4.7005231113892
"2",11.1444779530652
"3",1.86953805534556
"4",8.47971723733284
"5",1.93155789450072
"6",1.90453871212035
"7",1.86904247276993
"8",4.93433375973439
"9",1.84076105028609
"10",1.96848499514605
"11",7.1581740780845
"12",2.12149911776417
"13",1.91566979796707
"14",1.91424893293604
"15",3.61514467867813
"16",1.89133390399829
"17",10.7697932730016
"18",1.91607953982845
"19",1.90411093060624
"20",1.90197692563043
"21",1.9081803983075
"22",11.7944176795019
"23",4.78323513068464
"24",1.90968586090032
"25",11.8138388898362
"26",2.82818319353587
"27",1.89361136000395
"28",1.94609386254193
"29",2.83976781503076
"30",3.65252373125537
"31",1.89311840460996
"32",1.91075836604338
"33",8.52628128416998
"34",1.88865747829374
"35",1.90162593877739
"36",1.91882435845863
"37",8.54405868822873
"38",1.89753986067554
"39",8.91525289239992
"40",11.7554120596405
"41",11.3798402945759
"42",10.8469048521233
"43",1.89800173688158
"44",6.95421944676924
"45",1.87275964252803
"46",3.86869907887573
"47",1.91711322249536
"48",7.0939859022895
"49",1.91489751370751
"50",2.05127840853914
"51",1.89975505354623
"52",2.05605351774009
"53",10.5627875913546
"54",1.9150071260612
"55",1.9219729209717
"56",1.92092456964937
"57",2.05286604289653
"58",1.93460346880817
"59",11.3008482910704
"60",2.50875467849669
"61",11.7987784301996
"62",1.93187266270893
"63",1.92534603129583
"64",2.93404977273309
"65",2.58479751014657
"66",11.0842085851866
"67",2.59436467105247
"68",11.7262192747535
"69",3.00712763530365
"70",7.06879786547327
"71",1.91725578784861
"72",1.85393749160449
"73",11.8071286163611
"74",11.5297686592204
"75",1.88954274562407
"76",11.382051808636
"77",1.87680232703452
"78",1.92469342452832
"79",1.91440701895176
"80",1.91058143208735
"81",2.07908581831705
"82",1.92642793658483
"83",4.60081333308333
"84",4.3395787178845
"85",2.11325697712143
"86",1.91559537193702
"87",1.91946665410573
"88",2.09769870837537
"89",8.87074908001336
"90",2.86510208322628
"91",1.88720229102599
"92",7.79525413956944
"93",10.7006322972687
"94",7.12445931249632
"95",10.7919157623748
"96",2.2899929343354
"97",1.92131026290709
"98",10.9112164426555
"99",1.8789286618397
"100",10.9230903145625
"101",4.95704508481817
"102",10.4988760546871
"103",1.91934190685707
"104",2.04685471756583
"105",8.65574647176581
"106",3.65403777259495
"107",1.91320451593669
"108",1.93618998650212
"109",1.93678479360987
"110",1.88088025023365
"111",1.92748932585556
"112",1.93976746957115
"113",6.45829524154609
"114",11.5117142751011
"115",1.90766793446462
"116",1.92158509435034
"117",1.90864090091906
"118",1.93810704922958
"119",1.91699045290887
"120",1.92890577374712
"121",1.82690648426156
"122",1.88120325563451
"123",4.53919902708008
"124",1.91323183075024
"125",3.01536857662231
"126",11.7267582951923
"127",10.7940486901479
"128",2.28534525513495
"129",1.90931794777651
"130",2.29771683330429
"131",1.88903894635429
"132",1.91045276783825
"133",1.89396355958708
"134",2.04276829203335
"135",5.59590974562945
"136",1.84828110464947
"137",8.75108771658844
"138",2.32924307342658
"139",1.88866835097014
"140",11.7802159948023
"141",11.1795131387031
"142",1.92342891391623
"143",1.90448400652699
"144",1.94416148295853
"145",1.90258813846915
"146",1.9191032965304
"147",8.51706234094734
"148",1.89915971980961
"149",11.6360491032026
"150",4.7137786891187
"151",1.91563311057265
"152",11.8651844268808
"153",11.5592806814707
"154",1.91028827412182
"155",9.90221015281815
"156",2.3763663594302
"157",2.22031584729635
"158",11.2846567285178
"159",1.92287996986743
"160",2.06010103865262
"161",1.88915321276771
"162",1.90705236435029
"163",2.25967267362266
"164",10.9512912202555
"165",1.9161236368825
"166",1.91028848185881
"167",2.13956119285457
"168",1.8724874332641
"169",1.91897716852339
"170",7.7440377101842
"171",1.91761220983462
"172",4.73292144852248
"173",11.3510866595094
"174",1.90908609315179
"175",1.92478513032884
"176",11.4866732531834
"177",11.85337761049
"178",1.91529051072284
"179",1.91431862513942
"180",1.93736017787345
"181",11.7432206242308
"182",1.89672116695641
"183",1.84880854382149
"184",2.22227900820168
"185",7.46930802331759
"186",2.84127967104917
"187",2.45473008683975
"188",11.8191994664289
"189",1.90953139989905
"190",7.69899603297824
"191",3.40900659720915
"192",11.8306104985966
"193",1.93778735241244
"194",1.95172711605512
"195",1.92041743434051
"196",1.87739118538164
"197",1.8797871796472
"198",1.92474474434529
"199",1.90841995465695
"200",11.08184364626
"201",8.55717716635613
"202",2.19557417384604
"203",10.7892472630326
"204",6.99568055114662
"205",11.1794431999227
"206",1.92041099433495
"207",2.92890417685849
"208",11.6971199519572
"209",11.3665443246535
"210",1.92165043525751
"211",1.89959200537573
"212",9.23613274900259
"213",1.90497033832507
"214",7.88725911901832
"215",6.41711096699341
"216",10.8824112885981
"217",1.90032259114311
"218",1.94143938044419
"219",1.86899444668286
"220",1.93111066579462
"221",1.90749411650655
"222",1.90173078568314
"223",3.17810077414702
"224",2.44659297907172
"225",2.61906135178242
"226",11.7713667502953
"227",10.4885086122757
"228",11.4001738800989
"229",11.4896188004792
"230",2.78419703616114
"231",1.87885956144471
"232",1.9309717834461
"233",10.8630432739379
"234",2.74305578737193
"235",1.9021407069714
"236",7.42569836359034
"237",1.90782177664396
"238",7.08152510334029
"239",2.84363867231207
"240",8.90589323612267
"241",1.92347987555886
"242",1.89216494124453
"243",3.82486751063052
"244",11.8283630772046
"245",1.93783904053013
"246",6.01318287809869
"247",2.85723756427704
"248",11.7250188359838
"249",2.52556964021919
"250",1.93367778276725
"251",11.7491341329086
"252",1.9076886033923
"253",2.15582874457441
"254",10.8589711517527
"255",1.89222289780552
"256",6.19716117672941
"257",11.8486841386797
"258",4.70206047894822
"259",11.8459698312178
"260",1.90299134631901
"261",1.92081548257837
"262",10.9652000630735
"263",4.93371739035405
"264",1.8980217042294
"265",7.83276137031178
"266",1.97847330701534
"267",1.90611199751254
"268",10.7785979171212
"269",11.7378988895215
"270",1.86977052268122
"271",1.90805283378299
"272",2.11010803855187
"273",11.4221917173702
"274",1.93310852185968
"275",7.76423044229645
"276",1.92151998182847
"277",9.30161474272043
"278",5.36807183309149
"279",1.91534547437634
"280",9.57569948261177
"281",2.01638682846931
"282",1.91058161573015
"283",1.91827273949043
"284",2.09787767683419
"285",1.92575712169597
"286",3.15017708523088
"287",10.3565535688238
"288",10.7949287432514
"289",2.0867940072304
"290",1.92889353039021
"291",1.90646342090679
"292",1.92175444837675
"293",9.22447551450447
"294",2.04664140736852
"295",1.91098625158333
"296",1.92828262010722
"297",2.31915542984036
"298",7.72574581089985
"299",1.89736219152265
"300",2.81477529624687
"301",1.90612550855566
"302",6.82429928922594
"303",3.57825072729727
"304",1.91691085028049
"305",1.86312121299807
"306",5.72505357792471
"307",4.3309193992619
"308",1.94194982973043
"309",11.6265510254723
"310",1.90662491588744
"311",6.49406638257257
"312",1.89161611429312
"313",1.86835381671347
"314",1.89132454752526
"315",1.90789222003671
"316",1.89465386757811
"317",11.8780387875637
"318",1.92376680296081
"319",1.88532951688989
"320",1.9263905276865
"321",1.92586009351756
"322",1.91339259087607
"323",9.04867020962955
"324",1.91643144704219
"325",10.208835387179
"326",9.48777360955062
"327",5.98854784054456
"328",11.0020587153472
"329",4.93645847829761
"330",1.95436150752206
"331",1.8997653809668
"332",8.79315526788247
"333",1.89607156659905
"334",1.89683803802314
"335",3.19151785404738
"336",1.90313946309643
"337",1.900940340484
"338",2.05922674696397
"339",1.89447048983832
"340",1.90819082420429
"341",1.9057675313099
"342",1.91514975664741
"343",1.91239071590524
"344",2.75160465948265
"345",10.8166479232525
"346",2.79088023426243
"347",11.7955951867416
"348",4.79504934005013
"349",11.5105925614454
"350",10.9550617542736
"351",3.90108996136794
